Alcohol,Bitter,Sweet,Sour,Salty,Fruits,Hoppy,Spices,Malty,review_aroma,review_appearance,review_taste,review_overall,number_of_reviews
9,47,74,33,0,33,57,8,111,3.498994,3.636821,3.643863,3.847082,497
18,33,55,16,0,24,35,12,84,3.798337,3.846154,4.024948,4.034304,481
6,42,43,11,0,10,54,4,62,3.409814,3.667109,3.6313,3.830239,377
31,47,101,18,1,49,40,16,119,4.148098,4.033967,4.205163,4.005435,368
26,44,45,9,1,11,51,20,95,3.625,3.973958,3.765625,3.817708,96
13,46,62,25,1,34,60,4,103,4.007937,4.007937,4.192063,4.230159,315
3,40,58,29,0,36,54,8,97,3.322581,3.637097,3.354839,3.475806,124
5,37,73,22,0,21,37,4,98,3.496629,3.735955,3.579775,3.738202,445
4,38,39,13,1,8,60,16,97,3.847826,4.043478,3.98913,4.184783,46
5,35,50,55,5,52,66,8,77,3.534694,3.528571,3.587755,3.767347,245
9,55,59,25,1,32,68,12,121,3.887701,4.061497,4.053476,4.101604,187
1,21,30,11,4,8,24,2,65,3.833333,4.333333,4,4,3
5,43,43,13,1,13,50,6,93,3.52381,3.904762,3.690476,3.869048,42
9,29,54,13,1,11,32,2,112,3.202381,3.541667,3.303571,3.482143,84
31,48,105,31,0,37,59,19,115,3.834661,4,3.99004,3.886454,251
6,47,49,5,1,3,50,5,110,3.5,3.785714,3.642857,3.642857,7
1,55,43,18,1,20,80,7,103,3.528571,3.914286,3.914286,3.9,35
13,54,62,19,0,25,64,10,135,3.574074,3.888889,3.734568,3.820988,81
3,54,54,7,0,10,60,9,111,5,4,4,4.5,1
9,48,102,25,1,50,43,13,176,3.9125,3.9,3.9375,4.075,40
5,39,43,13,1,6,45,8,97,3.611111,3.948413,3.72619,3.853175,126
16,60,84,32,0,46,83,19,121,3.852941,3.970588,4,4,34
5,37,33,13,0,13,45,10,70,3.75,3.8125,3.625,3.875,8
9,59,55,20,2,18,80,7,132,3.588235,3.735294,3.588235,3.470588,17
10,47,54,10,1,14,68,2,117,3.519231,3.788462,3.615385,3.75,26
16,69,67,29,0,23,87,18,103,3.625,3.625,4,4.125,4
5,35,86,21,0,28,54,4,138,4,4,4,4,1
14,96,106,23,0,42,122,11,130,3.916667,4.216667,3.916667,3.866667,30
7,76,47,39,2,40,100,8,76,3.972222,4.194444,4.055556,4.083333,18
6,54,66,11,0,16,52,9,109,3.522727,3.545455,3.522727,3.636364,22
18,47,52,28,4,24,59,6,100,3.833333,3.833333,3.666667,4,3
9,72,77,20,0,20,104,10,141,3.613636,3.886364,3.636364,3.681818,22
14,65,57,33,0,33,107,3,98,3.545455,4.136364,3.681818,3.909091,11
28,47,135,49,2,65,55,15,182,3.933333,3.866667,4.266667,4.166667,15
13,52,57,10,0,14,68,15,100,4.095238,4.238095,4.214286,4.452381,21
50,51,87,22,0,39,47,6,96,3.363636,3.621212,3.333333,3.287879,33
7,40,62,34,0,47,65,5,80,4,3.9,4,4.1,5
11,56,61,46,0,40,77,14,110,4.1875,4.0625,4.25,4.46875,16
13,42,68,25,0,29,54,12,70,3.655172,3.931034,3.689655,3.827586,29
82,56,170,30,0,107,43,13,62,3.902411,3.932262,3.931688,3.704363,871
94,40,142,25,0,63,23,27,133,4.369205,4.072848,4.307947,4.09106,302
31,107,97,27,1,57,120,14,119,4.238552,4.318956,4.285942,4.071885,939
45,78,83,36,1,52,97,12,117,4.051918,4.075772,4.14406,3.963517,1069
52,90,125,72,0,101,105,24,105,4.207373,4.123272,4.264977,4.059908,434
44,47,74,28,0,43,68,17,89,4.052373,4.143208,4.12766,4.016367,611
36,52,117,29,0,54,67,13,122,4.176471,4.082633,4.221289,4.102241,357
41,66,143,38,1,78,72,11,130,4.134783,4.133696,4.23587,4.083696,460
35,88,80,41,0,65,86,14,83,4.094595,4.024182,4.064011,3.738265,703
34,66,102,36,1,53,82,22,98,4.197168,3.980392,4.253813,4.021786,459
56,25,101,23,5,45,48,21,134,4.5,4,4.5,4.5,1
66,38,52,20,0,32,42,22,103,3.943333,4.086667,3.88,3.813333,150
61,70,125,33,0,54,62,22,119,3.905172,3.912069,3.927586,3.817241,290
39,64,97,27,1,46,67,2,110,3.892606,3.924296,3.818662,3.769366,284
35,70,74,39,1,45,81,17,99,3.883954,4.101719,3.84384,3.732092,349
47,67,110,73,2,120,98,6,100,3.714286,3.785714,3.428571,3.5,7
33,29,70,28,0,41,35,4,67,3.616883,3.852814,3.521645,3.573593,231
36,14,81,14,0,35,10,10,76,4.470588,3.890756,4.5,4.163866,119
41,60,146,78,0,117,71,25,104,3.557471,3.833333,3.442529,3.465517,87
37,80,109,67,0,83,96,5,87,3.877622,3.914336,3.903846,3.826923,286
31,66,124,43,1,60,77,10,108,4.278646,4.161458,4.369792,4.174479,192
43,86,86,36,1,61,96,16,95,3.931973,4.044218,3.809524,3.721088,294
29,86,50,28,0,34,114,9,83,3.923267,3.975248,3.910891,3.816832,202
43,89,89,46,0,54,106,17,97,3.995327,3.96729,4.004673,3.847352,321
61,57,98,48,1,59,59,14,89,3.730892,3.756369,3.714968,3.673567,314
66,38,86,36,0,61,42,35,92,4.348485,4,4.469697,4.287879,33
94,43,134,34,0,57,53,32,132,4.160714,3.845238,4.136905,3.97619,84
67,26,113,20,0,36,23,25,132,4.34127,4.071429,4.349206,4.198413,63
45,78,125,80,2,122,117,9,103,3.844156,3.948052,3.896104,3.785714,77
58,67,137,71,0,110,79,12,114,3.894737,3.62201,3.825359,3.600478,209
40,61,85,38,0,47,61,4,104,3.566667,3.925926,3.607407,3.544444,135
63,53,71,22,1,32,56,23,114,3.979452,3.986301,4.068493,3.917808,73
38,61,107,39,0,64,69,6,119,3.884783,4.026087,3.884783,3.821739,230
39,90,116,56,3,88,105,4,102,3.945607,4.012552,3.943515,3.834728,239
50,79,103,42,0,53,69,27,107,3.831325,3.987952,3.990964,3.891566,166
37,45,100,34,0,44,60,11,115,3.826733,3.955446,3.80198,3.717822,101
45,56,127,39,1,49,62,4,108,4.446429,4.116071,4.491071,4.375,56
74,24,105,23,0,50,19,18,112,4.376302,4.057292,4.505208,4.375,384
55,19,103,27,0,68,19,27,88,4.17916,4.03973,4.238381,3.976012,667
47,29,138,26,0,62,31,15,97,3.71981,3.777476,3.74152,3.607191,737
86,37,156,34,1,77,12,27,168,4.519305,4.206564,4.523166,4.281853,259
37,56,116,36,0,82,64,15,110,3.935225,3.882762,3.96788,3.853854,934
49,16,67,13,0,35,9,32,101,3.911765,4.117647,4.264706,4.117647,17
19,32,119,28,0,77,29,18,104,4.122807,4.117794,4.246867,4.096491,399
69,28,123,23,0,49,23,24,141,4.38756,4.119617,4.437799,4.19378,209
50,22,100,25,0,63,21,9,65,3.839923,3.845026,3.885204,3.71301,784
94,24,99,14,1,44,8,25,123,4.419492,3.936441,4.34322,4.152542,118
59,11,126,22,1,64,6,54,74,4.135922,3.808252,4.024272,3.742718,206
64,13,123,31,0,46,7,18,96,4.44,4.07,4.5,4.45,50
48,23,188,74,0,93,22,30,93,4.149171,3.80663,4.151934,3.922652,181
38,23,148,36,0,89,9,14,76,4.266272,3.914201,4.289941,4.044379,169
20,27,80,22,2,45,29,5,114,3.505556,3.769444,3.458333,3.591667,180
22,24,134,40,0,85,30,31,101,4.144828,3.868966,4.134483,3.868966,145
62,58,186,52,0,105,40,17,170,3.932692,3.980769,3.971154,3.855769,52
52,34,125,44,0,82,52,14,92,3.457143,3.62,3.445714,3.388571,175
71,10,96,17,0,34,11,66,95,3.964286,3.821429,4.035714,4.035714,14
30,65,124,42,0,63,54,20,130,3.666667,3.949612,3.604651,3.635659,129
39,36,144,45,0,88,30,6,70,3.892857,3.440476,3.845238,3.702381,42
63,57,145,54,0,80,68,17,125,3.515873,3.928571,3.452381,3.357143,63
90,35,134,28,0,78,44,51,143,4.605263,4.177632,4.605263,4.546053,76
54,37,101,35,0,59,39,4,111,4,4.083333,4.145833,3.958333,72
46,29,122,26,2,74,30,16,130,4.188679,4.037736,4.283019,4.113208,53
23,29,114,33,6,53,36,4,91,3.761905,3.936508,3.68254,3.801587,63
16,41,63,23,0,37,57,10,67,3.912885,4.001216,4.130065,4.194895,1234
6,49,82,19,0,37,59,13,88,3.539135,3.813594,3.720906,3.774974,971
2,55,53,18,0,25,78,0,117,3.566553,3.746587,3.691126,3.832765,586
11,74,21,23,0,26,105,9,52,3.938298,3.817021,3.974468,4.071277,470
19,57,75,29,0,35,75,5,102,3.565574,3.729508,3.741803,3.754098,366
5,30,63,16,3,19,51,7,92,3.5,3.873512,3.633929,3.764881,336